"Table Name",Field,Value,"QR Code URL"
inorganic_soil_conditioners,created_at,2025-11-07T10:00:42.000000Z,https://fivoflow.com/wclm/public/qrcodes/inorganic_51.png
inorganic_soil_conditioners,updated_at,2025-11-07T10:00:46.000000Z,https://fivoflow.com/wclm/public/qrcodes/inorganic_51.png
inorganic_soil_conditioners,qr_code_url,https://fivoflow.com/wclm/public/qrcodes/inorganic_51.png,https://fivoflow.com/wclm/public/qrcodes/inorganic_51.png

inorganic_soil_conditioners,id,52,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,conditioner_type,ki0,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,form_type,inorganic_soil_conditioner,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,product_id,4,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,physical_form,"update data",https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,trade_name,PhosGrow,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,raw_material,"Phosphoric Acid",https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,other,"Contains micronutrients",https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,function,"Improves soil phosphorus content",https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,wholesale_price,200.50,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,semiwholesale_price,220.75,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,retail_price,250.00,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,qr_code_path,qrcodes/inorganic_52.png,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,created_by,1,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,supplier_id,72,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,agent_id,,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,created_at,2025-11-07T10:06:31.000000Z,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,updated_at,2025-11-07T10:07:03.000000Z,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png
inorganic_soil_conditioners,qr_code_url,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png,https://fivoflow.com/wclm/public/qrcodes/inorganic_52.png

biostimulants,id,42,
biostimulants,form_type,bio_stimulant,
biostimulants,product_id,5,
biostimulants,trade_name,nvdn,
biostimulants,physical_form,Liquid,
biostimulants,biostimulant_product,"Purified plant extracts",
biostimulants,re_registration,85,
biostimulants,n,1,
biostimulants,p2,1,
biostimulants,k2,1,
biostimulants,zn,1,
biostimulants,ca,1,
biostimulants,mg,1,
biostimulants,s,1,
biostimulants,b,1,
biostimulants,mo,1,
biostimulants,action_mode,1,
biostimulants,wholesale_price,1.00,
biostimulants,semiwholesale_price,1.00,
biostimulants,retail_price,1.00,
biostimulants,qr_code_path,,
biostimulants,supplier_id,72,
biostimulants,agent_id,,
biostimulants,created_by,1,
biostimulants,language_id,1,
biostimulants,created_at,2025-11-05T12:07:13.000000Z,
biostimulants,updated_at,2025-11-05T12:07:13.000000Z,
biostimulants,qr_code_url,,

